Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
80,Joe Courtney\courtjo01,PF,24,MIL,19,177,9.0,0.424,0.043,0.214,8.6,10.3,9.4,5.5,2.0,2.3,12.6,21.4,,-0.2,0.1,-0.1,-0.031,,-5.5,-1.9,-7.3,-0.2,East
81,John Crotty\crottjo01,PG,24,UTA,45,313,17.5,0.575,0.242,0.364,4.1,7.3,5.7,37.0,2.5,0.2,19.0,20.0,,0.7,0.3,1.0,0.16,,2.0,-1.8,0.1,0.2,West
82,Terry Cummings\cummite01,PF,32,SAS,59,1133,12.7,0.452,0.005,0.25,13.8,15.6,14.8,6.9,1.5,0.8,11.0,21.1,,0.4,1.4,1.8,0.076,,-1.8,-0.9,-2.8,-0.2,West
83,Earl Cureton\curetea01,PF,36,HOU,2,30,2.2,0.225,0.0,0.25,15.7,28.1,22.2,0.0,0.0,0.0,10.1,14.6,,-0.1,0.0,0.0,-0.06,,-11.7,-5.6,-17.3,-0.1,West
84,Dell Curry\curryde01,SG,29,CHH,82,2173,18.5,0.5429999999999999,0.32299999999999995,0.114,3.7,9.4,6.7,16.7,2.2,0.8,8.9,26.5,,3.6,1.4,5.0,0.11,,3.7,-1.9,1.8,2.1,East
85,Michael Curry\currymi01,SG,25,PHI,10,43,-3.9,0.28600000000000003,0.14300000000000002,0.28600000000000003,0.0,2.6,1.3,3.3,1.2,0.0,16.0,19.0,,-0.2,0.0,-0.2,-0.217,,-11.2,-4.2,-15.5,-0.1,East
86,Lloyd Daniels\daniell01,SG,26,SAS,65,980,11.2,0.462,0.336,0.172,5.4,7.2,6.4,14.5,1.6,1.1,13.0,21.0,,0.2,0.9,1.1,0.054000000000000006,,-0.9,-1.4,-2.3,-0.1,West
87,Brad Daugherty\daughbr01,C,28,CLE,50,1838,18.4,0.5660000000000001,0.0,0.5379999999999999,8.1,24.1,16.1,12.9,1.2,1.3,12.8,21.0,,3.9,2.6,6.4,0.168,,0.9,1.3,2.2,1.9,East
88,Antonio Davis\davisan01,PF,25,IND,81,1732,15.2,0.561,0.002,0.711,13.2,20.3,16.9,4.7,1.3,3.3,16.1,16.8,,2.3,2.8,5.0,0.139,,-0.9,1.1,0.2,1.0,East
89,Brian Davis\davisbr02,SF,23,MIN,68,374,9.2,0.42,0.024,0.54,6.7,10.4,8.6,9.1,2.2,0.7,10.9,20.4,,-0.2,0.2,0.0,0.0,,-4.7,-1.8,-6.5,-0.4,West
